******0.983108	0.899189 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981581	0.899189 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981328	0.898683 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982621	0.899696 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982696	0.900709 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983307	0.903749 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982333	0.899696 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982735	0.900709 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:28:11, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:28:11, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.982882	0.904061 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983669	0.904061 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.984807	0.906599 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983969	0.905584 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982231	0.904569 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983436	0.899492 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983878	0.903046 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.984357	0.909137 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983062	0.901015 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.984585	0.908629 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:28:18, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:28:18, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.984081	0.908767 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983964	0.907747 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
